"Importado","AireAcondicionado","Codigo","Cilindraje","Potencia"
1,1,606001,2771,174
1,1,606002,2771,174
1,1,606003,1780,150
1,1,606004,2671,254
1,1,606005,2671,254
1,1,606006,2771,174
1,1,606008,1780,150
1,1,606009,2144,136
1,1,606010,4163,350
1,1,606011,2967,233
1,1,606012,3597,280
1,1,606013,2995,272
1,1,606014,1984,200
1,1,606015,4134,326
1,1,606016,1984,211
1,1,606017,1984,211
1,1,606018,1984,211
1,1,606019,1984,211
1,1,606020,2967,233
1,1,606021,1395,150
1,1,606022,1968,177
1,1,606023,1395,150
1,1,606024,1395,150
1,1,606025,1984,220
1,1,606026,1984,220
1,1,606027,2995,333
1,1,606028,2995,333
1,1,606029,2995,333
1,1,606030,2967,249
1,1,606031,2967,249
1,1,606032,2967,249
1,1,606033,1968,177
1,1,606034,999,116
1,1,608001,1984,211
1,1,608002,2967,240
1,1,608003,3197,270
1,1,608004,2967,240
1,1,608005,1968,170
1,1,608006,1984,211
1,1,608007,1968,170
1,1,608008,2995,272
1,1,608009,2995,272
1,1,608010,1968,170
1,1,608011,2967,245
1,1,608012,1984,230
1,1,608013,1984,230
1,1,608014,1984,252
1,0,722001,0,0
1,1,801001,3982,286
1,1,801002,2693,127
1,1,801004,4398,290
1,0,801009,1991,98
1,1,801019,1991,109
1,1,801020,1991,122
1,0,801024,1991,113
1,1,801025,1991,150
1,1,801028,2494,192
1,1,801030,2793,193
1,1,801031,2788,181
1,1,801041,3498,238
1,1,801044,1766,90
1,1,801045,1991,148
1,1,801046,1991,148
1,1,801047,2494,170
1,1,801048,1766,90
1,1,801049,2494,192
1,1,801050,2494,192
1,1,801051,2986,188
1,1,801052,2494,192
1,1,801053,3430,211
1,1,801054,1796,138
1,1,801055,1596,102
1,1,801056,1895,118
1,1,801057,1796,115
1,1,801060,2494,192
1,1,801061,5379,326
1,1,801062,2494,189
1,1,801063,3201,321
1,1,801064,1990,125
1,1,801066,1796,138
1,1,801067,2986,188
1,1,801068,4988,300
1,1,801069,1796,138
1,1,801070,1596,102
1,1,801071,2494,192
1,1,801073,2494,192
1,1,801074,2793,196
1,1,801075,2793,192
1,1,801076,1796,115
1,1,801077,2793,193
1,1,801078,4398,290
1,1,801079,4398,290
1,1,801080,2793,192
1,1,801081,2494,170
1,1,801083,2494,168
1,1,801084,2494,170
1,1,801088,4398,290
1,1,801089,2494,170
1,1,801090,4941,394
1,1,801091,1895,116
1,1,801093,2302,215
1,1,801095,3430,211
1,1,801096,2979,231
1,1,801097,1995,143
1,1,801098,2494,192
1,1,801099,2997,218
1,1,801103,1796,115
1,1,801106,2996,258
1,1,801107,2990,286
1,1,801108,3201,321
1,1,801109,2793,196
1,1,801110,1895,103
1,1,801111,2171,170
1,1,801112,2793,192
1,1,801114,2494,192
1,1,801118,1796,138
1,1,801121,2996,265
1,1,801122,4398,328
1,1,801123,1995,143
1,1,801125,2979,231
1,1,801126,2979,231
1,1,801127,1796,138
1,1,801129,1596,100
1,1,801130,1995,150
1,1,801133,1995,150
1,1,801134,3246,343
1,1,801135,2494,192
1,1,801137,3246,343
1,1,801138,1895,116
1,1,801140,2979,231
1,1,801143,2979,231
1,1,801144,4398,330
1,1,801145,4999,507
1,1,801146,1596,114
1,1,801148,1995,150
1,1,801149,2494,192
1,1,801150,2497,218
1,1,801151,2996,265
1,1,801152,2497,218
1,1,801153,2497,218
1,1,801154,2996,258
1,1,801156,4799,367
1,1,801157,4398,330
1,1,801158,4798,367
1,1,801160,2996,272
1,1,801161,2497,218
1,1,801162,2996,258
1,1,801164,2996,258
1,0,801165,1991,130
1,1,801166,4799,367
1,1,801167,2316,150
1,1,801168,4941,394
1,1,801169,2996,265
1,1,801170,3430,211
1,1,801171,2171,167
1,1,801172,5972,445
1,1,801173,2793,192
1,1,801174,2494,168
1,1,801175,1991,148
1,1,801176,2996,258
1,1,801177,4398,290
1,1,801178,2693,127
1,1,801179,2979,306
1,1,801180,1796,115
1,1,801181,2497,218
1,1,801182,2497,218
1,1,801183,2494,192
1,1,801184,2979,231
1,1,801185,4799,367
1,1,801186,2979,231
1,1,801187,2497,218
1,1,801188,3430,211
1,1,801189,2996,272
1,1,801190,3982,282
1,1,801191,2793,196
1,1,801192,1990,125
1,1,801193,2316,150
1,1,801194,1990,125
1,1,801195,2996,230
1,1,801196,2497,218
1,1,801197,1895,138
1,1,801198,2494,168
1,1,801199,3210,197
1,1,801200,2494,168
1,1,801201,1995,150
1,1,801202,2793,192
1,1,801203,4000,306
1,1,801204,3982,286
1,1,801205,1995,170
1,1,801206,1995,170
1,1,801207,2494,168
1,1,801208,3246,343
1,1,801209,1995,129
1,1,801210,2497,218
1,1,801211,2996,265
1,1,801212,2979,231
1,1,801213,2494,189
1,0,801214,2494,150
1,1,801215,1995,170
1,1,801216,2990,286
1,1,801217,2979,306
1,1,801218,2979,306
1,0,801219,1766,105
1,1,801220,1895,140
1,1,801221,2986,184
1,1,801222,3430,218
1,1,801223,2788,165
1,1,801224,2996,160
1,1,801225,2693,127
1,1,801226,2986,188
1,1,801227,3430,218
1,0,801228,1796,113
1,1,801229,3453,218
1,1,801230,2793,192
1,1,801231,2494,192
1,1,801232,2997,218
1,1,801233,2316,142
1,1,801234,2997,218
1,1,801235,3430,211
1,1,801236,3982,282
1,1,801237,2171,170
1,1,801238,2979,306
1,1,801239,2788,182
1,1,801240,2494,150
1,1,801241,2997,218
1,1,801242,2171,170
1,1,801243,2979,306
1,1,801244,2788,184
1,1,801245,2494,170
1,1,801246,2788,182
1,1,801247,1895,140
1,1,801248,3999,420
1,1,801249,4395,408
1,1,801250,3430,218
1,1,801251,3999,420
1,1,801252,1995,170
1,1,801253,2497,218
1,1,801254,3999,420
1,1,801255,1995,143
1,1,801256,1995,170
1,1,801257,2979,326
1,1,801258,2497,218
1,1,801259,1599,122
1,1,801260,2996,272
1,1,801261,2788,177
1,1,801262,1991,125
1,1,801263,2497,204
1,1,801264,2996,272
1,1,801265,1995,177
1,1,801266,1995,177
1,1,801267,1995,177
1,1,801268,1995,170
1,1,801269,1995,170
1,1,801270,1995,170
1,1,801271,2979,225
1,1,801272,2497,218
