"Estado","Nacionalidad","Combustible","Puertas","Transmision","Codigo"
"Activo","ALE","GSL",4,"4X2",601064
"Activo","ALE","GSL",4,"4X2",601065
"Activo","ALE","GSL",4,"4X2",601066
"Activo","ALE","GSL",5,"4X2",601068
"Activo","ALE","GSL",4,"4X2",601069
"Activo","ALE","GSL",4,"4X2",601070
"Activo","ALE","GSL",4,"4X2",601072
"Activo","ALE","GSL",4,"4X4",601073
"Activo","ALE","GSL",4,"4X2",601074
"Activo","ALE","GSL",4,"4X4",601075
"Activo","ALE","GSL",4,"4X4",601076
"Activo","HNG","GSL",3,"4X4",601077
"Activo","HNG","GSL",2,"4X4",601078
"Activo","ALE","GSL",5,"4X2",601080
"Activo","ALE","GSL",3,"4X4",601081
"Activo","ALE","GSL",5,"4X4",601084
"Activo","HNG","GSL",3,"4X4",601087
"Activo","ALE","GSL",3,"4X2",601088
"Activo","ALE","GSL",4,"4X2",601091
"Activo","ALE","GSL",4,"4X2",601092
"Activo","ALE","GSL",4,"4X2",601093
"Activo","ALE","GSL",4,"4X2",601094
"Activo","HNG","GSL",3,"4X2",601095
"Activo","HNG","GSL",3,"4X2",601096
"Activo","ALE","GSL",5,"4X2",601097
"Activo","ALE","GSL",4,"4X2",601098
"Activo","ALE","GSL",3,"4X2",601099
"Activo","ALE","GSL",5,"4X2",601100
"Activo","ALE","GSL",2,"4X2",601101
"Activo","ALE","GSL",4,"4X2",601102
"Activo","ALE","GSL",4,"4X2",601103
"Activo","ALE","GSL",4,"4X4",601104
"Activo","ALE","GSL",2,"4X4",601105
"Activo","HNG","GSL",2,"4X2",601106
"Activo","ALE","GSL",3,"4X2",601107
"Activo","ALE","GSL",4,"4X2",601108
"Activo","ALE","GSL",4,"4X2",601109
"Activo","ALE","GSL",3,"4X2",601110
"Activo","ALE","GSL",3,"4X2",601111
"Activo","ALE","GSL",5,"4X2",601112
"Activo","ALE","GSL",5,"4X2",601113
"Activo","ALE","GSL",4,"4X2",601114
"Activo","ALE","GSL",4,"4X4",601115
"Activo","ALE","GSL",4,"4X4",601116
"Activo","ALE","GSL",4,"4X2",601117
"Activo","ALE","GSL",3,"4X2",601118
"Activo","HNG","GSL",3,"4X4",601119
"Activo","ALE","GSL",4,"4X2",601120
"Activo","ALE","GSL",5,"4X4",601121
"Activo","ALE","GSL",2,"4X4",601122
"Activo","ALE","GSL",4,"4X2",601123
"Activo","ALE","GSL",2,"4X2",601124
"Activo","ALE","GSL",2,"4X2",601125
"Activo","ALE","GSL",4,"4X2",601126
"Activo","ALE","GSL",4,"4X2",601127
"Activo","ALE","GSL",3,"4X4",601128
"Activo","ALE","GSL",4,"4X2",601129
"Activo","ALE","GSL",4,"4X4",601130
"Activo","ALE","GSL",2,"4X2",601131
"Activo","ALE","GSL",3,"4X2",601132
"Activo","HNG","GSL",2,"4X4",601133
"Activo","ALE","GSL",5,"4X2",601134
"Activo","ALE","GSL",5,"4X4",601135
"Activo","ALE","GSL",5,"4X4",601136
"Activo","ALE","GSL",3,"4X2",601137
"Activo","ALE","GSL",4,"4X2",601138
"Activo","ALE","GSL",4,"4X4",601139
"Activo","ALE","GSL",4,"4X2",601140
"Activo","ALE","GSL",4,"4X2",601141
"Activo","ALE","GSL",3,"4X2",601142
"Activo","ALE","GSL",3,"4X2",601143
"Activo","ALE","GSL",4,"4X2",601144
"Activo","ALE","DSL",2,"4X4",601145
"Activo","ALE","GSL",4,"4X4",601146
"Activo","ALE","GSL",4,"4X4",601147
"Activo","ALE","DSL",4,"4X2",601148
"Activo","ALE","GSL",4,"4X4",601149
"Activo","ALE","GSL",5,"4X2",601150
"Activo","ALE","GSL",2,"4X2",601151
"Activo","ALE","GSL",4,"4X2",601152
"Activo","ALE","GSL",4,"4X2",601153
"Activo","ALE","GSL",4,"4X2",601154
"Activo","ALE","GSL",5,"4X2",601155
"Activo","HNG","GSL",3,"4X2",601156
"Activo","ALE","GSL",4,"4X4",601157
"Activo","ALE","GSL",5,"4X2",601158
"Activo","ALE","GSL",2,"4X4",601159
"Activo","ALE","GSL",2,"4X4",601160
"Activo","ALE","GSL",2,"4X4",601161
"Activo","ALE","GSL",5,"4X2",601162
"Activo","ALE","GSL",4,"4X4",601163
"Activo","ALE","GSL",5,"4X2",601164
"Activo","ALE","GSL",3,"4X2",601165
"Activo","HNG","GSL",2,"4X2",601166
"Activo","HNG","GSL",3,"4X2",601167
"Activo","ALE","GSL",5,"4X2",601168
"Activo","ALE","GSL",3,"4X2",601169
"Activo","ALE","GSL",4,"4X2",601170
"Activo","ALE","GSL",2,"4X2",601171
"Activo","ALE","GSL",4,"4X2",601172
"Activo","ALE","GSL",4,"4X4",601173
"Activo","ALE","GSL",3,"4X2",601174
"Activo","ALE","GSL",3,"4X4",601175
"Activo","ALE","GSL",4,"4X4",601176
"Activo","ALE","GSL",5,"4X4",601177
"Activo","ALE","GSL",4,"4X2",601178
"Activo","ALE","GSL",2,"4X2",601179
"Activo","ALE","GSL",5,"4X2",601180
"Activo","ALE","GSL",5,"4X2",601181
"Activo","HNG","GSL",3,"4X4",601182
"Activo","ALE","GSL",4,"4X2",601183
"Activo","ALE","GSL",3,"4X2",601184
"Activo","HNG","GSL",2,"4X2",601185
"Activo","ALE","GSL",2,"4X4",601186
"Activo","ALE","GSL",2,"4X4",601187
"Activo","ALE","GSL",4,"4X2",601188
"Activo","ALE","GSL",5,"4X2",601189
"Activo","ALE","GSL",3,"4X2",601190
"Activo","ALE","GSL",5,"4X2",601191
"Activo","ALE","GSL",4,"4X2",601192
"Activo","ALE","GSL",4,"4X4",601193
"Activo","ALE","GSL",5,"4X2",601194
"Activo","ALE","GSL",4,"4X2",601195
"Activo","ALE","GSL",5,"4X2",601196
"Activo","ALE","GSL",4,"4X4",601197
"Activo","ALE","GSL",5,"4X4",601198
"Activo","ALE","GSL",2,"4X2",601199
"Activo","ALE","GSL",4,"4X2",601200
"Activo","ALE","GSL",5,"4X2",606001
"Activo","ALE","GSL",5,"4X2",606002
"Activo","ALE","GSL",5,"4X2",606003
"Activo","ALE","GSL",5,"4X4",606004
"Activo","ALE","GSL",5,"4X4",606005
"Activo","ALE","GSL",5,"4X2",606006
"Activo","ALE","GSL",5,"4X2",606008
"Activo","ALE","GSL",5,"4X2",606009
"Activo","ALE","GSL",5,"4X4",606010
"Activo","ALE","DSL",5,"4X4",606011
"Activo","ALE","GSL",5,"4X4",606012
"Activo","ALE","GSL",5,"4X4",606013
"Activo","ALE","GSL",5,"4X2",606014
"Activo","ALE","DSL",5,"4X4",606015
"Activo","ALE","GSL",5,"4X4",606016
"Activo","ALE","GSL",5,"4X4",606017
"Activo","ALE","GSL",5,"4X4",606018
"Activo","ALE","GSL",5,"4X4",606019
"Activo","ALE","DSL",5,"4X4",606020
"Activo","ALE","GSL",5,"4X2",606021
"Activo","ALE","DSL",5,"4X4",606022
"Activo","ALE","GSL",5,"4X2",606023
"Activo","ALE","GSL",5,"4X2",606024
"Activo","ALE","GSL",5,"4X4",606025
"Activo","ALE","GSL",5,"4X4",606026
"Activo","ALE","GSL",5,"4X4",606027
"Activo","ALE","GSL",5,"4X4",606028
"Activo","ALE","GSL",5,"4X4",606029
"Activo","ALE","DSL",5,"4X4",606030
"Activo","ALE","DSL",5,"4X4",606031
"Activo","ALE","DSL",5,"4X4",606032
"Activo","ALE","DSL",5,"4X4",606033
"Activo","ALE","GSL",5,"4X2",606034
"Activo","ALE","GSL",5,"4X4",608001
"Activo","ALE","DSL",5,"4X4",608002
"Activo","ALE","GSL",5,"4X4",608003
"Activo","ALE","DSL",5,"4X4",608004
"Activo","ALE","DSL",5,"4X4",608005
"Activo","ALE","GSL",5,"4X4",608006
"Activo","ALE","DSL",5,"4X4",608007
"Activo","ALE","GSL",5,"4X4",608008
"Activo","ALE","GSL",5,"4X4",608009
"Activo","ALE","DSL",5,"4X4",608010
"Activo","ALE","DSL",5,"4X4",608011
"Activo","ALE","GSL",5,"4X4",608012
"Activo","ALE","GSL",5,"4X4",608013
"Activo","ALE","GSL",5,"4X4",608014
"Activo","","",0,"",722001
"Activo","ALE","GSL",4,"4X2",801001
"Activo","ALE","GSL",4,"4X2",801002
"Activo","ALE","GSL",4,"4X2",801004
"Activo","ALE","GSL",2,"4X2",801009
"Activo","ALE","GSL",2,"4X2",801019
